Protocol,Fwd Packet Length Max,Fwd Packet Length Std,Bwd Packet Length Min,Flow Bytes/s,Fwd IAT Min,Bwd IAT Min,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,SYN Flag Count,RST Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,Down/Up Ratio,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Bytes,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Std,Active Max,Active Min,Idle Std,Idle Min,Label
17,389.0,34.063667,0.0,13002.160998942103,1.0,0.0,0,36.167347,0.0,0,0,0,0,0,0.0,359.5,0.0,1438,0,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,401.0,0.0,0.0,401000000.0,2.0,0.0,0,1000000.0,0.0,0,0,0,0,0,0.0,401.0,0.0,802,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,389.0,34.063667,0.0,13623.616795513111,1.0,0.0,0,37.896015,0.0,0,0,0,0,0,0.0,359.5,0.0,1438,0,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,389.0,34.063667,0.0,13615.361308892592,1.0,0.0,0,37.87305,0.0,0,0,0,0,0,0.0,359.5,0.0,1438,0,-1,-1,3,369,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,383.0,0.0,0.0,15958333.333333332,48.0,0.0,0,41666.668,0.0,0,0,0,0,0,0.0,383.0,0.0,766,0,-1,-1,1,330,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,393.0,35.08846,0.0,9647.015339124007,1.0,0.0,0,27.721308,0.0,0,0,0,0,0,0.0,348.0,0.0,2088,0,-1,-1,5,8,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,389.0,34.063667,0.0,13445.28386565936,1.0,0.0,0,37.399956,0.0,0,0,0,0,0,0.0,359.5,0.0,1438,0,-1,-1,3,0,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,383.0,0.0,0.0,766000000.0,1.0,0.0,0,2000000.0,0.0,0,0,0,0,0,0.0,383.0,0.0,766,0,-1,-1,1,-1062718975,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,369.0,22.51666,0.0,12993.531117555209,1.0,0.0,0,37.177486,0.0,0,0,0,0,0,0.0,349.5,0.0,1398,0,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,369.0,22.51666,0.0,13136.505013108315,1.0,0.0,0,37.586567,0.0,0,0,0,0,0,0.0,349.5,0.0,1398,0,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,389.0,34.063667,0.0,13353.51528039596,1.0,0.0,0,37.144688,0.0,0,0,0,0,0,0.0,359.5,0.0,1438,0,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,383.0,0.0,0.0,383000000.0,2.0,0.0,0,1000000.0,0.0,0,0,0,0,0,0.0,383.0,0.0,766,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,393.0,35.08846,0.0,9752.361024184736,1.0,0.0,0,28.024027,0.0,0,0,0,0,0,0.0,348.0,0.0,2088,0,-1,-1,5,20,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,375.0,0.0,0.0,750000000.0,1.0,0.0,0,2000000.0,0.0,0,0,0,0,0,0.0,375.0,0.0,750,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,375.0,0.0,0.0,750000000.0,1.0,0.0,0,2000000.0,0.0,0,0,0,0,0,0.0,375.0,0.0,750,0,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,383.0,0.0,0.0,766000000.0,1.0,0.0,0,2000000.0,0.0,0,0,0,0,0,0.0,383.0,0.0,766,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,389.0,34.063667,0.0,13665.434433473662,1.0,0.0,0,38.012337,0.0,0,0,0,0,0,0.0,359.5,0.0,1438,0,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,383.0,0.0,0.0,766000000.0,1.0,0.0,0,2000000.0,0.0,0,0,0,0,0,0.0,383.0,0.0,766,0,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,401.0,0.0,0.0,802000000.0,1.0,0.0,0,2000000.0,0.0,0,0,0,0,0,0.0,401.0,0.0,802,0,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,401.0,0.0,0.0,802000000.0,1.0,0.0,0,2000000.0,0.0,0,0,0,0,0,0.0,401.0,0.0,802,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,389.0,34.063667,0.0,13314.444969121228,1.0,0.0,0,37.036007,0.0,0,0,0,0,0,0.0,359.5,0.0,1438,0,-1,-1,3,0,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,369.0,22.51666,0.0,12895.846209193132,1.0,0.0,0,36.897987,0.0,0,0,0,0,0,0.0,349.5,0.0,1398,0,-1,-1,3,-1062718975,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,389.0,34.063667,0.0,13301.267227823511,1.0,0.0,0,36.99935,0.0,0,0,0,0,0,0.0,359.5,0.0,1438,0,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,369.0,22.51666,0.0,13187.683948381253,1.0,0.0,0,37.733,0.0,0,0,0,0,0,0.0,349.5,0.0,1398,0,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,389.0,34.063667,0.0,13450.440085678742,1.0,0.0,0,37.4143,0.0,0,0,0,0,0,0.0,359.5,0.0,1438,0,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,375.0,0.0,0.0,15000000.0,50.0,0.0,0,40000.0,0.0,0,0,0,0,0,0.0,375.0,0.0,750,0,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,369.0,22.51666,0.0,13024.399787584896,0.0,0.0,0,37.26581,0.0,0,0,0,0,0,0.0,349.5,0.0,1398,0,-1,-1,3,0,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,424.0,30.636248,0.0,46171.79466898679,0.0,0.0,0,118.64273,0.0,0,0,0,0,0,0.0,389.16666,0.0,9340,0,-1,-1,23,20,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,383.0,0.0,0.0,383000000.0,2.0,0.0,0,1000000.0,0.0,0,0,0,0,0,0.0,383.0,0.0,766,0,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,401.0,0.0,0.0,802000000.0,1.0,0.0,0,2000000.0,0.0,0,0,0,0,0,0.0,401.0,0.0,802,0,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,393.0,35.08846,0.0,9589.418572609537,1.0,0.0,0,27.555801,0.0,0,0,0,0,0,0.0,348.0,0.0,2088,0,-1,-1,5,20,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,347.0,17.897858,0.0,12472.604479226437,1.0,0.0,0,37.62475,0.0,0,0,0,0,0,0.0,331.5,0.0,1326,0,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,375.0,0.0,0.0,750000000.0,1.0,0.0,0,2000000.0,0.0,0,0,0,0,0,0.0,375.0,0.0,750,0,-1,-1,1,8,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,389.0,34.063667,0.0,13547.761039352572,1.0,0.0,0,37.68501,0.0,0,0,0,0,0,0.0,359.5,0.0,1438,0,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,383.0,0.0,0.0,766000000.0,1.0,0.0,0,2000000.0,0.0,0,0,0,0,0,0.0,383.0,0.0,766,0,-1,-1,1,8,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,389.0,34.063667,0.0,13294.012147657832,1.0,0.0,0,36.97917,0.0,0,0,0,0,0,0.0,359.5,0.0,1438,0,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,369.0,22.51666,0.0,12883.723930733857,1.0,0.0,0,36.8633,0.0,0,0,0,0,0,0.0,349.5,0.0,1398,0,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,389.0,34.063667,0.0,13135.659020945805,1.0,0.0,0,36.53869,0.0,0,0,0,0,0,0.0,359.5,0.0,1438,0,-1,-1,3,-1,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,401.0,0.0,0.0,802000000.0,1.0,0.0,0,2000000.0,0.0,0,0,0,0,0,0.0,401.0,0.0,802,0,-1,-1,1,-1,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
17,393.0,35.08846,0.0,9559.739213244451,1.0,0.0,0,27.470514,0.0,0,0,0,0,0,0.0,348.0,0.0,2088,0,-1,-1,5,0,0.0,0.0,0.0,0.0,0.0,DrDoS_UDP
